Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7235989_pass_1	SRR7235989_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	607884.0	0.0	50-150	41.0	57.808107174799225	104.47338143461582	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7235989_pass_2_paired_qtrim	SRR7235989_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9700811.0	0.0	50-150	39.0	88.10790817011687	139.82103898323552	pass	pass	pass	pass	pass	warn	pass	warn	pass	fail	pass
SRR7235989_pass_2_unpaired_qtrim	SRR7235989_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	626557.0	0.0	50-150	41.0	62.45457296240385	104.13654304396887	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7235990_pass_1	SRR7235990_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	493323.0	0.0	50-150	39.0	92.98329481043	126.31181599074034	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235990_pass_2_paired_qtrim	SRR7235990_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9275462.0	0.0	50-150	39.0	91.32118444734473	143.30841180741186	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235990_pass_2_unpaired_qtrim	SRR7235990_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	154658.0	0.0	50-150	39.0	94.94909219583802	116.51337143891683	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235991_pass_1	SRR7235991_pass_1.fastq.gz_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13310654.0	0.0	50-150	39.0	90.37543000852023	145.48039923507892	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235991_pass_2_paired_qtrim	SRR7235991_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13310654.0	0.0	50-150	39.0	90.55843787555585	145.5027101598464	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235991_pass_2_unpaired_qtrim	SRR7235991_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	459541.0	0.0	50-150	39.0	92.66781099217006	124.21764978532927	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235993_pass_1	SRR7235993_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	197974.0	0.0	50-150	39.0	93.50894402085255	114.09036035034903	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235993_pass_2_paired_qtrim	SRR7235993_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14119974.0	0.0	50-150	39.0	89.50330503567137	147.4991392335425	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235993_pass_2_unpaired_qtrim	SRR7235993_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	907410.0	0.0	50-150	39.0	92.96006720557088	127.28469930902239	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR7235994_pass_1	SRR7235994_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	617130.0	0.0	50-150	40.0	87.41728626735025	126.30370100303016	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235994_pass_2_paired_qtrim	SRR7235994_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12475236.0	0.0	50-150	39.0	87.28663742074778	142.00744162274765	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235994_pass_2_unpaired_qtrim	SRR7235994_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	213126.0	0.0	50-150	39.0	93.56969777483421	116.0418344078151	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR7235996_pass_1	SRR7235996_pass_1.fastq.gz_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	669659.0	0.0	50-150	39.0	91.98599031948704	125.32453532320181	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR7235996_pass_2_paired_qtrim	SRR7235996_pass_2_paired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12166086.0	0.0	50-150	39.0	89.50776767707573	142.87563814689457	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR7235996_pass_2_unpaired_qtrim	SRR7235996_pass_2_unpaired_qtrim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	197886.0	0.0	50-150	39.0	92.18382314781593	115.06014574047684	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
