Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7235989_pass_1	42.191892825200775	41.0	104.47338143461582	27.27272727272727	607884.0
SRR7235989_pass_2_paired_qtrim	11.892091829883128	39.0	139.82103898323552	9.090909090909092	9700811.0
SRR7235989_pass_2_unpaired_qtrim	37.54542703759615	41.0	104.13654304396887	27.27272727272727	626557.0
SRR7235990_pass_1	7.016705189570004	39.0	126.31181599074034	0.0	493323.0
SRR7235990_pass_2_paired_qtrim	8.678815552655266	39.0	143.30841180741186	0.0	9275462.0
SRR7235990_pass_2_unpaired_qtrim	5.05090780416198	39.0	116.51337143891683	0.0	154658.0
SRR7235991_pass_1	9.624569991479774	39.0	145.48039923507892	0.0	13310654.0
SRR7235991_pass_2_paired_qtrim	9.441562124444147	39.0	145.5027101598464	0.0	13310654.0
SRR7235991_pass_2_unpaired_qtrim	7.332189007829939	39.0	124.21764978532927	0.0	459541.0
SRR7235993_pass_1	6.491055979147447	39.0	114.09036035034903	0.0	197974.0
SRR7235993_pass_2_paired_qtrim	10.496694964328626	39.0	147.4991392335425	0.0	14119974.0
SRR7235993_pass_2_unpaired_qtrim	7.03993279442912	39.0	127.28469930902239	0.0	907410.0
SRR7235994_pass_1	12.58271373264975	40.0	126.30370100303016	0.0	617130.0
SRR7235994_pass_2_paired_qtrim	12.71336257925222	39.0	142.00744162274765	0.0	12475236.0
SRR7235994_pass_2_unpaired_qtrim	6.430302225165789	39.0	116.0418344078151	0.0	213126.0
SRR7235996_pass_1	8.014009680512956	39.0	125.32453532320181	0.0	669659.0
SRR7235996_pass_2_paired_qtrim	10.492232322924266	39.0	142.87563814689457	0.0	12166086.0
SRR7235996_pass_2_unpaired_qtrim	7.816176852184071	39.0	115.06014574047684	0.0	197886.0
SRR7235998_pass_1	11.946739823939097	39.0	145.00329026863412	0.0	14499424.0
SRR7235998_pass_2_paired_qtrim	12.206205986903939	39.0	145.03497194095434	0.0	14499424.0
SRR7235998_pass_2_unpaired_qtrim	8.449777010830758	39.0	123.9316127812441	0.0	528900.0
SRR7235999_pass_1	10.522087097128235	39.0	145.75951515321216	0.0	16285392.0
SRR7235999_pass_2_paired_qtrim	10.41485810335648	39.0	145.72469161319543	0.0	16285392.0
SRR7235999_pass_2_unpaired_qtrim	6.579141833756907	39.0	124.52804354625377	0.0	530746.0
SRR7236021_pass_1	13.150712641133524	41.0	126.10761495737887	0.0	735316.0
SRR7236021_pass_2_paired_qtrim	18.010145840185572	41.0	140.66249465465762	0.0	13453301.0
SRR7236021_pass_2_unpaired_qtrim	9.589064068969563	40.0	113.06453236108108	0.0	226553.0
SRR7236022_pass_1	5.963867984356355	39.0	123.52751490926873	0.0	470345.0
SRR7236022_pass_2_paired_qtrim	10.467506249113484	39.0	145.60962216666312	0.0	13433939.0
SRR7236022_pass_2_unpaired_qtrim	5.288582461208009	39.0	124.07088643077387	0.0	463770.0
SRR7236028_pass_1	6.405226317182638	39.0	126.91096527185843	0.0	983122.0
SRR7236028_pass_2_paired_qtrim	9.167751115845562	39.0	143.37067525059004	0.0	15599083.0
SRR7236028_pass_2_unpaired_qtrim	3.3473621483228158	38.0	114.96365845829321	0.0	218070.0
SRR7236029_pass_1	7.660154811754751	39.0	123.28422007357318	0.0	532531.0
SRR7236029_pass_2_paired_qtrim	11.97945108780543	39.0	145.37164714654665	0.0	16337502.0
SRR7236029_pass_2_unpaired_qtrim	7.5493215701976055	39.0	122.87092813774422	0.0	536763.0
SRR7236030_pass_1	6.001340003798433	41.0	124.2460775851126	0.0	472668.0
SRR7236030_pass_2_paired_qtrim	11.472763689390248	41.0	145.07108568602743	0.0	12327109.0
SRR7236030_pass_2_unpaired_qtrim	6.188347335203773	41.0	123.81768369288946	0.0	482354.0
SRR7236031_pass_1	8.704913367509164	39.0	143.1211091388634	0.0	10400429.0
SRR7236031_pass_2_paired_qtrim	9.366044697453063	39.0	147.46475342507506	0.0	10400429.0
SRR7236031_pass_2_unpaired_qtrim	6.4645623506929155	39.0	125.92884921899905	0.0	627400.0
SRR7236032_pass_1	13.048031635014397	40.0	144.597768111385	0.0	11487222.0
SRR7236032_pass_2_paired_qtrim	12.675496316604253	40.0	144.5390491278048	0.0	11487222.0
SRR7236032_pass_2_unpaired_qtrim	8.9257217958193	40.0	122.72941152732518	0.0	396484.0
SRR7236033_pass_1	11.842489503754265	40.0	142.72618797296698	0.0	15375413.0
SRR7236033_pass_2_paired_qtrim	12.468945702416022	40.0	147.06069014211195	0.0	15375413.0
SRR7236033_pass_2_unpaired_qtrim	11.32568150427852	40.0	126.05171483580136	0.0	730274.0
SRR7236034_pass_1	9.077699428310666	41.0	147.38038687077417	0.0	10021124.0
SRR7236034_pass_2_paired_qtrim	8.49916593973684	41.0	143.27691524423807	0.0	10021124.0
SRR7236034_pass_2_unpaired_qtrim	5.399473282098199	41.0	115.19860129662598	0.0	164581.0
SRR7236036_pass_1	10.10639316944139	39.0	125.62954197683169	0.0	714942.0
SRR7236036_pass_2_paired_qtrim	13.47908927099219	39.0	143.15454144707996	0.0	15171684.0
SRR7236036_pass_2_unpaired_qtrim	6.555194101057509	39.0	117.3961301620151	0.0	276394.0
SRR7236037_pass_1	10.307043799222072	39.0	143.34322631644525	0.0	13523255.0
SRR7236037_pass_2_paired_qtrim	10.87949554287404	39.0	147.4428727403277	0.0	13523255.0
SRR7236037_pass_2_unpaired_qtrim	7.195413055159122	40.0	126.411999582232	0.0	746826.0
