Module	Section	Sample Name	Source
FastQC	all_sections	SRR7236022_pass_2_unpaired_qtrim	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236022_pass_2_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236022_pass_1	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236022_pass_1.fastq.gz_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7235996_pass_2_unpaired_qtrim	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7235996_pass_2_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236030_pass_1	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236030_pass_1.fastq.gz_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7235989_pass_2_paired_qtrim	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7235989_pass_2_paired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236033_pass_2_paired_qtrim	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236033_pass_2_paired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236030_pass_2_unpaired_qtrim	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236030_pass_2_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236031_pass_1	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236031_pass_1.fastq.gz_paired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236036_pass_1	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236036_pass_1.fastq.gz_unpaired_qtrim_fastqc.zip
FastQC	all_sections	SRR7236034_pass_1	/RAID_STORAGE2/echille/finalproject/sratoolkit.2.9.6-centos_linux64/bin/fastq/trimmed_reads/Trimmomatic-0.39/qtrim/SRR7236034_pass_1.fastq.gz_paired_qtrim_fastqc.zip
