Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7235989_pass_1	SRR7235989_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11738621.0	0.0	150.0	40.0	84.50915633999234	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
SRR7235989_pass_2	SRR7235989_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11738621.0	0.0	150.0	40.0	85.23379069948288	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
SRR7235990_pass_1	SRR7235990_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10218844.0	0.0	150.0	39.0	90.30530306246028	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235990_pass_2	SRR7235990_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10218844.0	0.0	150.0	39.0	90.43846569837774	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235991_pass_1	SRR7235991_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14623446.0	0.0	150.0	39.0	89.71910927076885	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235991_pass_2	SRR7235991_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14623446.0	0.0	150.0	39.0	89.56568887765857	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235992_pass_1	SRR7235992_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11529163.0	0.0	150.0	40.0	88.9869711896931	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR7235992_pass_2	SRR7235992_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11529163.0	0.0	150.0	40.0	89.10570536221925	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR7235993_pass_1	SRR7235993_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15710422.0	0.0	150.0	39.0	89.20683834796127	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235993_pass_2	SRR7235993_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15710422.0	0.0	150.0	39.0	88.96971367092017	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR7235994_pass_1	SRR7235994_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13661163.0	0.0	150.0	39.0	85.96980407412693	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR7235994_pass_2	SRR7235994_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13661163.0	0.0	150.0	39.0	86.26272351355591	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR7235996_pass_1	SRR7235996_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13428706.0	0.0	150.0	39.0	88.27627726870301	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR7235996_pass_2	SRR7235996_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13428706.0	0.0	150.0	39.0	88.60912328425059	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
