Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7235989_pass_1	15.490843660007656	40.0	150.0	9.090909090909092	11738621.0
SRR7235989_pass_2	14.766209300517119	40.0	150.0	9.090909090909092	11738621.0
SRR7235990_pass_1	9.694696937539717	39.0	150.0	0.0	10218844.0
SRR7235990_pass_2	9.56153430162226	39.0	150.0	0.0	10218844.0
SRR7235991_pass_1	10.280890729231146	39.0	150.0	0.0	14623446.0
SRR7235991_pass_2	10.434311122341427	39.0	150.0	0.0	14623446.0
SRR7235992_pass_1	11.013028810306906	40.0	150.0	0.0	11529163.0
SRR7235992_pass_2	10.894294637780746	40.0	150.0	0.0	11529163.0
SRR7235993_pass_1	10.793161652038734	39.0	150.0	0.0	15710422.0
SRR7235993_pass_2	11.030286329079829	39.0	150.0	0.0	15710422.0
SRR7235994_pass_1	14.030195925873073	39.0	150.0	0.0	13661163.0
SRR7235994_pass_2	13.737276486444088	39.0	150.0	0.0	13661163.0
SRR7235996_pass_1	11.723722731296988	39.0	150.0	0.0	13428706.0
SRR7235996_pass_2	11.390876715749414	39.0	150.0	0.0	13428706.0
SRR7235998_pass_1	13.024465180165564	39.0	150.0	0.0	16010284.0
SRR7235998_pass_2	13.00437231178482	39.0	150.0	0.0	16010284.0
SRR7235999_pass_1	11.366286984238926	39.0	150.0	0.0	17830992.0
SRR7235999_pass_2	11.425640720018578	39.0	150.0	0.0	17830992.0
SRR7236021_pass_1	19.478896171702104	41.0	150.0	0.0	14846260.0
SRR7236021_pass_2	19.07486316801686	41.0	150.0	0.0	14846260.0
SRR7236022_pass_1	11.135788390169168	39.0	150.0	0.0	14794553.0
SRR7236022_pass_2	11.072900906778926	39.0	150.0	0.0	14794553.0
SRR7236028_pass_1	10.275676643775029	39.0	150.0	0.0	17339044.0
SRR7236028_pass_2	10.024510212359488	39.0	150.0	0.0	17339044.0
SRR7236029_pass_1	12.821585043105259	39.0	150.0	0.0	17877353.0
SRR7236029_pass_2	12.80501716897848	39.0	150.0	0.0	17877353.0
SRR7236030_pass_1	12.218003285438911	41.0	150.0	0.0	13739115.0
SRR7236030_pass_2	12.148375787931315	41.0	150.0	0.0	13739115.0
SRR7236031_pass_1	9.603530569022396	39.0	150.0	0.0	11541826.0
SRR7236031_pass_2	9.92853470042347	39.0	150.0	0.0	11541826.0
SRR7236032_pass_1	13.773809894360284	40.0	150.0	0.0	12659512.0
SRR7236032_pass_2	13.799025257925848	40.0	150.0	0.0	12659512.0
SRR7236033_pass_1	13.101315273816553	40.0	150.0	0.0	16820439.0
SRR7236033_pass_2	13.23958504075219	40.0	150.0	0.0	16820439.0
SRR7236034_pass_1	9.471276064545293	41.0	150.0	0.0	11054898.0
SRR7236034_pass_2	9.44833765795019	41.0	150.0	0.0	11054898.0
SRR7236036_pass_1	14.777265883432193	39.0	150.0	0.0	16589862.0
SRR7236036_pass_2	14.457235712454803	39.0	150.0	0.0	16589862.0
SRR7236037_pass_1	11.266202441307641	39.0	150.0	0.0	14925154.0
SRR7236037_pass_2	11.457015990273163	39.0	150.0	0.0	14925154.0
