gene_id,CASE_J03,CASE_J09,CASE_J12,CASE_J13,CA_J06,CA_J08,CA_J11,CA_J18,CON_J02,CON_J05,CON_J10,SE_J01,SE_J04,SE_J07
MSTRG.5811,28,14,28,17,16,16,30,28,18,16,36,34,11,22
MSTRG.5918,154,308,195,213,162,166,187,345,206,188,211,200,165,217
MSTRG.20438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18313,10,8,0,0,15,0,13,8,11,0,4,23,0,8
MSTRG.5919,1679,2274,2044,2105,1568,1625,1496,2183,1995,1804,1709,2056,1466,2238
MSTRG.19848,637,703,949,744,641,751,886,948,955,640,708,878,478,888
MSTRG.19849,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MSTRG.19846,943,815,710,901,803,640,711,724,1114,729,641,737,591,993
MSTRG.19847,24,0,20,30,35,7,47,31,16,25,35,18,10,69
MSTRG.19844,1017,0,0,0,753,684,822,0,878,967,0,0,0,1067
MSTRG.19845,359,606,238,416,347,222,387,472,461,778,1052,298,595,403
MSTRG.19842,347,386,353,476,207,276,323,534,298,434,578,460,633,335
MSTRG.19843,252,475,280,776,112,229,275,1858,214,326,1579,1389,1884,103
MSTRG.19840,2061,2390,2072,2615,1854,1774,1713,2245,2236,2637,2794,2157,1950,2722
MSTRG.19841,472,448,341,516,354,356,396,417,343,402,396,506,284,591
MSTRG.15172,14,8,0,0,0,0,0,16,0,0,4,0,10,0
MSTRG.15173,3025,4430,2405,4839,1570,2855,2954,5269,3086,3120,4369,4192,5027,2106
MSTRG.15170,42,17,45,72,43,25,44,67,68,56,66,36,74,46
MSTRG.15171,13,45,30,43,18,37,26,33,21,25,27,26,22,31
MSTRG.15176,195,163,136,170,187,89,138,155,156,151,124,135,105,159
MSTRG.15177,25,12,2,16,11,0,22,9,0,0,0,0,0,0
MSTRG.15174,817,1006,572,1131,743,678,572,906,1271,611,957,704,948,816
MSTRG.15175,58,30,26,69,46,25,70,27,38,50,33,83,61,42
MSTRG.15178,469,645,454,727,361,463,561,670,655,501,618,624,567,460
MSTRG.15179,599,701,518,605,649,322,537,620,800,369,363,534,391,776
MSTRG.10522,12,18,12,30,14,0,27,36,31,27,67,11,62,18
MSTRG.37300,17,35,25,25,17,36,21,64,31,25,36,37,31,13
MSTRG.37303,3,6,14,11,4,5,14,5,16,7,6,12,9,7
MSTRG.37302,44,24,17,24,27,21,27,15,41,10,17,20,6,29
MSTRG.10526,1209,1519,838,1541,652,629,839,2007,2629,1206,1899,1293,1477,792
MSTRG.37304,1745,2103,1746,3602,1319,1703,2558,3904,1630,4860,8184,1579,2952,2081
MSTRG.37307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37309,0,0,4,0,7,0,0,7,0,6,0,11,7,0
MSTRG.37308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10528,71,54,55,71,86,32,45,52,47,70,101,28,30,81
MSTRG.10529,16493,29757,24621,26901,15753,18468,17027,22104,25872,23143,21480,19208,11816,26898
MSTRG.18315,47,61,49,65,46,68,51,45,78,82,91,44,26,78
MSTRG.5660,1904,1903,1424,2439,1682,1523,1636,1820,1881,1800,1608,866,1428,2075
MSTRG.5661,342,316,271,375,358,305,235,312,408,232,214,376,254,427
MSTRG.5662,862,1044,879,991,1041,757,753,1060,1071,796,808,703,434,1109
MSTRG.5663,1277,1306,1031,1270,983,1114,1035,1086,1790,1218,1265,1119,829,1560
MSTRG.5664,319,325,307,387,284,264,222,312,424,362,252,317,251,454
MSTRG.5665,563,601,425,616,584,408,451,523,701,506,384,488,307,677
MSTRG.5666,21,27,24,19,14,0,11,30,12,29,37,10,6,21
MSTRG.5667,12,26,22,38,29,13,34,26,25,19,34,35,24,39
MSTRG.5668,14,20,18,41,13,4,21,13,25,10,17,14,11,22
MSTRG.5669,342,263,309,310,198,227,218,383,256,268,264,300,279,241
MSTRG.38304,41,15,21,34,25,9,24,28,27,50,50,22,21,46
MSTRG.38305,57,59,59,81,56,43,52,70,103,79,54,114,97,44
MSTRG.38306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38300,1175,1135,983,1466,914,1192,968,1407,1503,1292,1081,1438,1135,1188
MSTRG.38301,0,0,7,0,0,0,0,0,9,0,0,0,0,0
MSTRG.38302,0,0,7,0,0,0,0,0,0,0,0,0,6,0
MSTRG.38303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38308,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38309,23,20,7,9,11,10,14,20,7,11,0,11,0,18
MSTRG.3848,2888,3416,2528,3779,1717,1858,2620,3770,2529,2605,3128,2906,3376,2272
MSTRG.3849,8,20,3,11,13,9,12,4,10,3,3,10,8,6
MSTRG.3842,3253,3678,2835,3844,3435,3260,2643,3469,4054,3689,3274,3309,2695,4448
MSTRG.3843,423,475,473,458,574,549,366,463,568,598,402,377,347,614
MSTRG.3840,5216,8877,8544,9713,4662,5781,5661,8278,7346,7613,7883,6771,7042,8111
MSTRG.3841,9764,11078,8187,10991,8091,7193,8567,12393,9442,10735,12584,10272,11988,9927
MSTRG.3846,1329,1308,1011,1179,977,544,1074,1125,1033,1266,1275,1416,1341,1097
MSTRG.3847,701,1003,773,923,697,609,580,579,885,751,734,850,619,1032
MSTRG.3844,681,839,594,949,518,564,601,1022,662,640,833,783,570,613
MSTRG.3845,1883,4180,3284,5087,937,2674,2077,3927,3524,2535,3805,2761,4767,2876
MSTRG.18719,0,13,24,0,24,0,7,0,0,0,20,0,0,0
MSTRG.18718,18,3,0,0,0,0,7,0,0,2,3,5,0,0
MSTRG.18715,171,242,229,263,158,162,180,194,184,245,309,151,153,299
MSTRG.18714,14,8,9,0,24,11,11,22,17,6,15,5,11,13
MSTRG.18717,0,0,0,3,14,0,3,4,6,0,10,5,4,0
MSTRG.18716,17,6,0,11,3,15,0,0,7,3,0,1,0,17
MSTRG.18711,1441,1402,1326,1663,1132,1232,864,1146,1450,838,875,1326,865,1493
MSTRG.18710,81,92,53,88,58,64,80,88,84,66,69,68,71,89
MSTRG.18713,16,24,14,24,17,8,25,18,17,31,15,31,20,19
MSTRG.18712,97,140,107,146,52,111,88,165,102,66,181,136,72,102
MSTRG.28936,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MSTRG.6310,0,0,0,0,5,0,0,7,0,0,4,0,0,0
MSTRG.28934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6312,47,40,31,71,49,42,36,64,47,45,42,51,17,42
MSTRG.28932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6317,8257,12906,10894,14400,7734,7957,9989,14725,10507,12963,14557,12382,12915,9948
MSTRG.6316,6284,7320,5677,7267,5761,6759,5753,7369,7553,7322,7432,6590,5982,7960
MSTRG.6319,751,781,437,674,621,425,609,604,759,861,1138,601,534,746
MSTRG.6318,3229,4366,2747,5389,1806,2282,2735,5278,3031,3178,4489,4129,4096,2132
MSTRG.28938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.28939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33375,0,7,8,7,2,8,9,12,0,3,10,9,5,0
MSTRG.33376,0,0,0,0,0,0,0,17,0,13,12,0,4,5
MSTRG.33377,190,152,188,289,269,240,177,98,279,67,138,180,61,266
MSTRG.33370,155,232,171,255,154,145,153,282,135,173,167,204,223,127
MSTRG.33371,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MSTRG.33372,0,25,15,11,9,12,5,0,9,0,6,21,0,19
MSTRG.33373,0,5,0,0,8,9,0,21,0,0,7,5,0,8
MSTRG.30937,285,645,336,421,455,355,452,856,480,419,479,198,250,280
MSTRG.30936,676,812,692,967,619,714,666,1104,866,807,759,823,673,608
MSTRG.30935,1043,1781,1393,1658,1008,1065,1310,2114,1400,1414,1357,1410,1221,853
MSTRG.30934,0,0,0,6,8,4,7,0,4,0,7,0,0,0
MSTRG.30933,23,20,9,26,37,16,32,44,25,24,23,23,33,13
MSTRG.33379,336,1810,1246,2776,826,696,4165,6662,4027,4241,4801,3164,3029,3598
MSTRG.3030,0,0,7,13,0,0,0,31,0,8,13,10,17,9
MSTRG.30930,71,1618,21,2358,1089,119,1592,1397,126,657,1560,14,514,0
MSTRG.27805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18218,3928,4757,4119,5275,3272,3658,3358,5261,4750,4344,4911,4426,4596,3789
MSTRG.35439,1242,1579,1156,1630,1027,977,987,1555,1573,1482,1914,1323,1330,1395
MSTRG.35438,29,52,26,38,33,31,26,43,39,24,41,11,19,36
MSTRG.32429,1509,1807,1512,1875,1417,1333,1271,1611,1594,1582,1325,1538,1111,2068
MSTRG.32428,204,181,120,158,195,126,144,233,228,184,125,156,104,257
MSTRG.12942,395,321,299,368,379,406,372,406,538,411,463,296,207,520
MSTRG.35430,0,5,0,0,0,0,0,17,0,0,0,0,0,0
MSTRG.32421,383,481,419,808,344,451,448,678,407,661,849,618,929,520
