Sample	Population
CU_101	CU
CU_102	CU
CU_103	CU
CU_104	CU
CU_13	CU
CU_15	CU
CU_16	CU
CU_17	CU
CU_23	CU
CU_25	CU
CU_26	CU
CU_27	CU
CU_30	CU
CU_33	CU
CU_37	CU
CU_38	CU
CU_39	CU
CU_41	CU
CU_43	CU
CU_44	CU
CU_47	CU
CU_48	CU
CU_51	CU
CU_53	CU
CU_54	CU
CU_57	CU
CU_59	CU
CU_5	CU
CU_60	CU
CU_64	CU
CU_68	CU
CU_75	CU
CU_79	CU
CU_7	CU
CU_86	CU
CU_87	CU
CU_90	CU
CU_93	CU
CU_98	CU
CU_9	CU
PAN2014_235	PAN2014
PAN2014_240	PAN2014
PR_101	PR
PR_103	PR
PR_105	PR
PR_106	PR
PR_107	PR
PR_108	PR
PR_109	PR
PR_110	PR
PR_112	PR
PR_114	PR
PR_126	PR
PR_130	PR
PR_131	PR
PR_132	PR
PR_133	PR
PR_134	PR
PR_137	PR
PR_138	PR
PR_142	PR
PR_146	PR
PR_147	PR
PR_149	PR
PR_151	PR
PR_154	PR
PR_156	PR
PR_157	PR
PR_64	PR
PR_65	PR
PR_66	PR
PR_67	PR
PR_71	PR
PR_72	PR
PR_73	PR
PR_74	PR
PR_75	PR
PR_76	PR
PR_77	PR
PR_78	PR
PR_79	PR
PR_80	PR
PR_81	PR
PR_82	PR
PR_83	PR
PR_85	PR
PR_86	PR
PR_87	PR
PR_88	PR
PR_89	PR
PR_90	PR
PR_91	PR
PR_94	PR
PR_95	PR
PR_97	PR
