beta  ances 
0.212 0.376
0.210 0.368
0.214 0.370
0.215 0.372
0.215 0.371
0.213 0.370
0.211 0.370
0.212 0.368
0.211 0.367
0.210 0.367
0.210 0.367
0.209 0.368
0.210 0.369
0.210 0.368
0.210 0.369
0.210 0.368
0.211 0.368
0.210 0.368
0.210 0.368
0.210 0.368
0.210 0.368
0.209 0.368
0.209 0.368
0.209 0.369
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.367
0.209 0.367
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.209 0.368
0.208 0.368
0.208 0.368
0.208 0.367
0.208 0.367
0.209 0.367
0.209 0.367
0.209 0.367
0.208 0.368
0.209 0.368
0.208 0.367
0.209 0.367
