Sample,Length,Width,Sex,Latitude,Longitude ,Locality,Library,Index,Site
FBN_306,1.4,1.1,f,27.674833,-97.268409,FB,2,1,FBN
FBN_307,1.7,1.2,f,27.674833,-97.268409,FB,1,3,FBN
FBN_308,1.8,1.3,f,27.674833,-97.268409,FB,3,3,FBN
FBN_309,2,1.4,m,27.674833,-97.268409,FB,2,2,FBN
FBN_310,1.2,0.8,m,27.674833,-97.268409,FB,1,2,FBN
FBN_311,1.1,0.9,m,27.674833,-97.268409,FB,1,1,FBN
FBN_312,1.5,1.2,m,27.674833,-97.268409,FB,2,2,FBN
FBN_313,1.5,1,m,27.674833,-97.268409,FB,1,1,FBN
FBN_314,1.9,1.4,f,27.674833,-97.268409,FB,2,3,FBN
FBN_315,1.2,0.8,f,27.674833,-97.268409,FB,2,4,FBN
FBN_316,1.4,1.1,f,27.674833,-97.268409,FB,1,3,FBN
FBN_317,1.6,1.1,f,27.674833,-97.268409,FB,3,3,FBN
FBN_318,2,1.4,f,27.674833,-97.268409,FB,2,4,FBN
FBN_319,1.6,1.1,f,27.674833,-97.268409,FB,3,4,FBN
FBN_320,1.5,1.1,f,27.674833,-97.268409,FB,3,4,FBN
FBN_321,1.9,1.4,f,27.674833,-97.268409,FB,2,1,FBN
FBN_322,1.4,0.9,f,27.674833,-97.268409,FB,2,4,FBN
FBN_323,1.4,0.9,m,27.674833,-97.268409,FB,3,1,FBN
FBN_324,1.5,1.2,f,27.674833,-97.268409,FB,3,1,FBN
FBN_325,1.2,0.9,m,27.674833,-97.268409,FB,3,3,FBN
FBN_326,1.4,1,m,27.674833,-97.268409,FB,1,1,FBN
FBN_327a,1.8,1.3,m,27.674833,-97.268409,FB,1,2,FBN
FBN_327b,1.8,1.3,m,27.674833,-97.268409,FB,1,3,FBN
FBN_327c,1.8,1.3,m,27.674833,-97.268409,FB,2,2,FBN
FBN_327d,1.8,1.3,m,27.674833,-97.268409,FB,3,2,FBN
FBN_328,1.2,1,f,27.674833,-97.268409,FB,2,2,FBN
