	SPU_peptide	diadema.best
OG0000000	SPU_000327, SPU_000499, SPU_000697, SPU_000805, SPU_001163, SPU_001205, SPU_001249, SPU_001385, SPU_001707, SPU_001820, SPU_001871, SPU_001988, SPU_002154, SPU_002247, SPU_002415, SPU_002468, SPU_002778, SPU_002943, SPU_003370, SPU_003935, SPU_004425, SPU_004426, SPU_005023, SPU_005024, SPU_005066, SPU_005076, SPU_005094, SPU_005975, SPU_005997, SPU_006131, SPU_006327, SPU_006832, SPU_007200, SPU_007332, SPU_008014, SPU_008437, SPU_008887, SPU_009034, SPU_009823, SPU_010011, SPU_010321, SPU_010322, SPU_010676, SPU_010753, SPU_011021, SPU_011359, SPU_011950, SPU_012058, SPU_012060, SPU_013050, SPU_013210, SPU_013213, SPU_013221, SPU_013239, SPU_014018, SPU_014096, SPU_014159, SPU_014292, SPU_014601, SPU_014661, SPU_014662, SPU_014779, SPU_014866, SPU_015269, SPU_015431, SPU_015436, SPU_015480, SPU_015498, SPU_015601, SPU_015973, SPU_016616, SPU_016927, SPU_016928, SPU_016986, SPU_017312, SPU_017713, SPU_017839, SPU_017928, SPU_018650, SPU_018651, SPU_018721, SPU_018722, SPU_019149, SPU_019642, SPU_019767, SPU_019991, SPU_020183, SPU_020320, SPU_020455, SPU_020660, SPU_020809, SPU_020820, SPU_021152, SPU_021284, SPU_021318, SPU_021389, SPU_021622, SPU_022087, SPU_022176, SPU_022293, SPU_022341, SPU_022388, SPU_022497, SPU_022618, SPU_022619, SPU_023072, SPU_023073, SPU_023087, SPU_024242, SPU_024663, SPU_024870, SPU_025274, SPU_025388, SPU_025603, SPU_025604, SPU_025769, SPU_026069, SPU_026121, SPU_026293, SPU_026655, SPU_026976, SPU_027333, SPU_027668, SPU_027746, SPU_027772, SPU_028107, SPU_028415, SPU_028890	TRINITY_DN17811_c0_g1_i6.p1.p1
OG0000001	SPU_000199, SPU_000911, SPU_002442, SPU_003870, SPU_004311, SPU_005850, SPU_005950, SPU_006164, SPU_007429, SPU_007430, SPU_007850, SPU_007986, SPU_007991, SPU_009037, SPU_009172, SPU_009173, SPU_009223, SPU_009450, SPU_010619, SPU_010695, SPU_010940, SPU_011454, SPU_011536, SPU_011537, SPU_011539, SPU_011540, SPU_011541, SPU_011570, SPU_011775, SPU_013751, SPU_015029, SPU_015066, SPU_015299, SPU_015303, SPU_015511, SPU_015533, SPU_015534, SPU_016536, SPU_016974, SPU_018099, SPU_018100, SPU_018519, SPU_019041, SPU_019042, SPU_019309, SPU_020045, SPU_020257, SPU_020259, SPU_020644, SPU_020652, SPU_020653, SPU_020666, SPU_020741, SPU_021936, SPU_022451, SPU_023193, SPU_023321, SPU_023544, SPU_024204, SPU_024205, SPU_024206, SPU_024208, SPU_024960, SPU_025136, SPU_025312, SPU_025613, SPU_025719, SPU_027721, SPU_027798, SPU_028404, SPU_028576, SPU_028893, SPU_030096, SPU_030097, SPU_030098, SPU_030099, SPU_030101, SPU_030104, SPU_030106, SPU_030107, SPU_030108, SPU_030109, SPU_030114, SPU_030115	TRINITY_DN191364_c1_g1_i1.p1.p1, TRINITY_DN252570_c0_g1_i1.p1.p1, TRINITY_DN273458_c0_g1_i1.p1.p1, TRINITY_DN348245_c0_g1_i1.p1.p1, TRINITY_DN348245_c1_g1_i1.p1.p1, TRINITY_DN349831_c0_g1_i1.p1.p1
OG0000002	SPU_000406, SPU_000407, SPU_000532, SPU_000533, SPU_001092, SPU_003427, SPU_004428, SPU_004931, SPU_005549, SPU_006022, SPU_006023, SPU_006024, SPU_006025, SPU_006086, SPU_006087, SPU_007323, SPU_007717, SPU_007904, SPU_008771, SPU_008772, SPU_009024, SPU_009570, SPU_009571, SPU_009576, SPU_010122, SPU_010123, SPU_010124, SPU_010125, SPU_010512, SPU_011857, SPU_012350, SPU_012351, SPU_012352, SPU_012354, SPU_012355, SPU_013978, SPU_014031, SPU_015001, SPU_015273, SPU_015581, SPU_015582, SPU_015583, SPU_015584, SPU_015585, SPU_015846, SPU_016138, SPU_016160, SPU_016888, SPU_016889, SPU_017022, SPU_017023, SPU_017889, SPU_018030, SPU_020291, SPU_021725, SPU_021745, SPU_021746, SPU_021747, SPU_021748, SPU_021904, SPU_021905, SPU_022055, SPU_022647, SPU_023242, SPU_023243, SPU_023244, SPU_024440, SPU_024881, SPU_024882, SPU_025429, SPU_025430, SPU_025431, SPU_025432, SPU_025433, SPU_025677, SPU_026161, SPU_026163, SPU_026750, SPU_027217, SPU_027450, SPU_027951, SPU_027952, SPU_027955, SPU_027956, SPU_028936	TRINITY_DN278729_c0_g1_i1.p1.p1
OG0000003		TRINITY_DN107508_c0_g1_i2.p1.p1, TRINITY_DN109314_c0_g1_i2.p1.p1, TRINITY_DN111638_c1_g2_i2.p1.p1, TRINITY_DN113287_c0_g1_i3.p1.p1, TRINITY_DN116469_c0_g1_i2.p1.p1, TRINITY_DN126543_c0_g1_i2.p1.p1, TRINITY_DN131953_c0_g1_i4.p1.p1, TRINITY_DN148030_c0_g1_i2.p1.p1, TRINITY_DN149030_c0_g1_i1.p1.p1, TRINITY_DN149269_c0_g1_i3.p1.p1, TRINITY_DN164828_c0_g1_i1.p1.p1, TRINITY_DN166701_c0_g1_i2.p1.p1, TRINITY_DN178313_c0_g1_i2.p1.p1, TRINITY_DN187821_c0_g1_i1.p1.p1, TRINITY_DN191832_c0_g1_i3.p1.p1, TRINITY_DN191832_c1_g1_i1.p1.p1, TRINITY_DN191832_c1_g2_i1.p1.p1, TRINITY_DN195568_c0_g1_i1.p1.p1, TRINITY_DN210717_c0_g1_i3.p1.p1, TRINITY_DN217669_c0_g1_i2.p1.p2, TRINITY_DN231570_c0_g1_i2.p1.p1, TRINITY_DN245398_c0_g1_i1.p1.p1, TRINITY_DN267935_c0_g1_i1.p1.p1, TRINITY_DN28571_c1_g1_i6.p1.p1, TRINITY_DN285909_c0_g1_i1.p1.p1, TRINITY_DN310137_c0_g1_i1.p1.p1, TRINITY_DN323277_c0_g1_i1.p1.p1, TRINITY_DN32387_c0_g1_i5.p1.p1, TRINITY_DN32387_c0_g1_i6.p1.p1, TRINITY_DN327556_c0_g1_i1.p1.p1, TRINITY_DN33158_c0_g2_i1.p1.p1, TRINITY_DN34278_c0_g1_i2.p1.p1, TRINITY_DN34278_c0_g1_i8.p1.p1, TRINITY_DN352249_c0_g1_i1.p1.p1, TRINITY_DN362791_c0_g1_i1.p1.p1, TRINITY_DN382076_c0_g1_i1.p1.p1, TRINITY_DN38536_c0_g1_i11.p1.p1, TRINITY_DN44152_c1_g1_i1.p1.p1, TRINITY_DN49643_c0_g1_i13.p1.p1, TRINITY_DN50303_c0_g1_i14.p1.p1, TRINITY_DN50303_c0_g1_i19.p1.p1, TRINITY_DN50303_c0_g1_i2.p1.p1, TRINITY_DN50303_c0_g1_i21.p1.p1, TRINITY_DN50303_c0_g1_i22.p1.p1, TRINITY_DN50303_c0_g1_i9.p1.p1, TRINITY_DN50303_c1_g1_i1.p1.p1, TRINITY_DN57197_c2_g1_i2.p1.p1, TRINITY_DN62057_c0_g1_i2.p1.p1, TRINITY_DN65037_c0_g1_i5.p1.p1, TRINITY_DN65143_c0_g1_i1.p1.p1, TRINITY_DN65143_c0_g1_i2.p1.p1, TRINITY_DN66186_c0_g1_i2.p1.p1, TRINITY_DN68471_c0_g1_i1.p1.p1, TRINITY_DN72232_c0_g2_i1.p1.p1, TRINITY_DN72262_c0_g1_i5.p1.p1, TRINITY_DN73833_c0_g1_i12.p1.p1, TRINITY_DN74138_c0_g1_i1.p1.p1, TRINITY_DN74408_c0_g1_i6.p1.p1, TRINITY_DN78651_c0_g1_i3.p1.p1, TRINITY_DN78651_c0_g1_i5.p1.p1, TRINITY_DN82962_c0_g1_i5.p1.p1, TRINITY_DN82962_c0_g1_i7.p1.p1, TRINITY_DN82962_c2_g1_i1.p1.p1, TRINITY_DN84327_c0_g1_i1.p1.p1, TRINITY_DN86089_c0_g1_i1.p1.p1, TRINITY_DN86105_c0_g1_i2.p1.p1, TRINITY_DN87762_c0_g1_i5.p1.p1, TRINITY_DN92765_c0_g1_i1.p1.p1, TRINITY_DN97863_c0_g1_i2.p1.p1, TRINITY_DN97863_c0_g1_i3.p1.p1
OG0000004	SPU_000685, SPU_000768, SPU_001725, SPU_002504, SPU_002699, SPU_002794, SPU_003064, SPU_003833, SPU_004941, SPU_005173, SPU_005210, SPU_005424, SPU_005591, SPU_005704, SPU_006061, SPU_007314, SPU_007489, SPU_007705, SPU_007762, SPU_007815, SPU_007953, SPU_008489, SPU_009329, SPU_009565, SPU_010745, SPU_011273, SPU_011384, SPU_011680, SPU_011907, SPU_012107, SPU_012231, SPU_012389, SPU_012802, SPU_014878, SPU_014893, SPU_014933, SPU_015166, SPU_015201, SPU_015645, SPU_015663, SPU_015694, SPU_015742, SPU_015911, SPU_015956, SPU_016469, SPU_017482, SPU_017997, SPU_019474, SPU_019847, SPU_020454, SPU_020503, SPU_020862, SPU_021741, SPU_022072, SPU_023698, SPU_024342, SPU_025880, SPU_026174, SPU_027036, SPU_027210, SPU_027412, SPU_027474, SPU_028399	TRINITY_DN11172_c0_g2_i1.p1.p1
OG0000005	SPU_001189, SPU_002327, SPU_003571, SPU_004250, SPU_004987, SPU_005562, SPU_005564, SPU_006586, SPU_006806, SPU_007888, SPU_007889, SPU_007901, SPU_008153, SPU_008495, SPU_009519, SPU_009630, SPU_009699, SPU_009978, SPU_010581, SPU_011131, SPU_011132, SPU_011979, SPU_012336, SPU_012635, SPU_013146, SPU_013233, SPU_013605, SPU_015258, SPU_015438, SPU_017108, SPU_017294, SPU_017550, SPU_017855, SPU_018593, SPU_018594, SPU_018839, SPU_019249, SPU_019250, SPU_019937, SPU_019938, SPU_020571, SPU_020572, SPU_021247, SPU_022551, SPU_022804, SPU_023105, SPU_024682, SPU_024683, SPU_027473, SPU_027574	TRINITY_DN26126_c0_g1_i2.p1.p1
OG0000006	SPU_000615, SPU_000985, SPU_001231, SPU_003419, SPU_005030, SPU_006611, SPU_008150, SPU_009435, SPU_010320, SPU_012257, SPU_012584, SPU_013876, SPU_014352, SPU_014928, SPU_014929, SPU_014932, SPU_016468, SPU_019881, SPU_021162, SPU_021194, SPU_021362, SPU_021420, SPU_021421, SPU_021425, SPU_021914, SPU_023031, SPU_023035, SPU_023934, SPU_023936, SPU_025257, SPU_027445, SPU_030077, SPU_030088, SPU_030118, SPU_030120, SPU_030121, SPU_030124, SPU_030125, SPU_030127, SPU_030128, SPU_030136	TRINITY_DN138254_c0_g2_i2.p1.p1, TRINITY_DN182452_c0_g1_i1.p1.p1, TRINITY_DN284749_c0_g1_i1.p1.p1, TRINITY_DN325692_c0_g1_i1.p1.p1, TRINITY_DN408857_c0_g1_i1.p1.p1, TRINITY_DN45342_c0_g1_i10.p1.p1
OG0000007	SPU_000466, SPU_000609, SPU_000833, SPU_000894, SPU_001635, SPU_002377, SPU_002577, SPU_002621, SPU_002805, SPU_005245, SPU_005934, SPU_007281, SPU_008232, SPU_008425, SPU_008451, SPU_008765, SPU_010863, SPU_011373, SPU_012737, SPU_014033, SPU_014506, SPU_014988, SPU_015686, SPU_016297, SPU_016809, SPU_016951, SPU_018161, SPU_018700, SPU_018896, SPU_019122, SPU_019321, SPU_019619, SPU_019867, SPU_020285, SPU_020438, SPU_020439, SPU_020521, SPU_021756, SPU_022660, SPU_023533, SPU_023891, SPU_023940, SPU_024477, SPU_025562, SPU_027043	TRINITY_DN62253_c0_g2_i1.p2.p1
OG0000008	SPU_005841	TRINITY_DN10011_c1_g1_i4.p1.p1, TRINITY_DN113784_c0_g1_i1.p1.p1, TRINITY_DN132342_c0_g1_i1.p1.p1, TRINITY_DN133150_c0_g1_i1.p1.p1, TRINITY_DN136003_c0_g1_i1.p1.p1, TRINITY_DN15364_c0_g1_i2.p1.p1, TRINITY_DN157484_c0_g2_i2.p1.p1, TRINITY_DN163455_c0_g1_i3.p1.p1, TRINITY_DN163455_c0_g1_i4.p1.p1, TRINITY_DN170527_c0_g1_i2.p1.p1, TRINITY_DN173442_c0_g1_i1.p1.p1, TRINITY_DN176522_c0_g1_i1.p1.p1, TRINITY_DN182294_c0_g1_i1.p1.p1, TRINITY_DN23258_c0_g1_i2.p1.p1, TRINITY_DN315526_c0_g1_i1.p1.p1, TRINITY_DN33233_c0_g1_i10.p1.p1, TRINITY_DN34776_c0_g1_i11.p1.p1, TRINITY_DN34776_c0_g1_i13.p1.p1, TRINITY_DN34776_c0_g1_i16.p1.p1, TRINITY_DN34776_c0_g1_i17.p1.p1, TRINITY_DN34776_c0_g1_i3.p1.p1, TRINITY_DN34776_c1_g1_i1.p1.p1, TRINITY_DN348443_c0_g1_i1.p1.p1, TRINITY_DN37024_c0_g1_i2.p1.p1, TRINITY_DN370809_c0_g1_i1.p1.p1, TRINITY_DN382664_c0_g1_i1.p1.p1, TRINITY_DN402891_c0_g1_i1.p1.p1, TRINITY_DN403421_c0_g1_i1.p1.p1, TRINITY_DN406653_c0_g1_i1.p1.p1, TRINITY_DN408727_c0_g1_i1.p1.p1, TRINITY_DN44195_c0_g1_i1.p1.p1, TRINITY_DN44195_c0_g1_i2.p1.p1, TRINITY_DN50762_c0_g1_i3.p1.p1, TRINITY_DN54855_c0_g2_i3.p1.p1, TRINITY_DN54855_c0_g3_i1.p1.p1, TRINITY_DN59201_c0_g1_i2.p1.p1, TRINITY_DN68415_c0_g1_i1.p1.p1, TRINITY_DN79425_c0_g1_i1.p1.p1, TRINITY_DN79600_c0_g1_i2.p1.p1, TRINITY_DN82954_c0_g2_i1.p1.p1, TRINITY_DN84205_c1_g1_i1.p1.p1, TRINITY_DN91176_c0_g1_i3.p1.p1, TRINITY_DN93631_c0_g2_i1.p1.p1, TRINITY_DN97128_c0_g1_i3.p1.p1
OG0000009	SPU_001159, SPU_001222, SPU_001957, SPU_002763, SPU_003583, SPU_004072, SPU_005015, SPU_006052, SPU_006514, SPU_007789, SPU_007791, SPU_010587, SPU_013172, SPU_013220, SPU_014858, SPU_015381, SPU_016143, SPU_016144, SPU_016530, SPU_019659, SPU_020335, SPU_021589, SPU_022518, SPU_022519, SPU_022686, SPU_023502, SPU_023923, SPU_024061, SPU_025664, SPU_026582, SPU_026991, SPU_027014, SPU_027686, SPU_027687	TRINITY_DN100948_c1_g1_i4.p1.p1, TRINITY_DN133214_c0_g1_i3.p1.p1, TRINITY_DN229451_c0_g1_i1.p1.p1, TRINITY_DN325201_c0_g1_i1.p1.p1, TRINITY_DN36985_c0_g1_i3.p1.p1
